id	gene	type	rowno	test_code
52189	CYP27B1	genetic	NULL	LPE517
52193	DHFR	genetic	NULL	LPE517
52200	DLL3	genetic	NULL	LPE517
52201	DLG3	genetic	NULL	LPE517
52202	DLG5	genetic	NULL	LPE517
52213	EHHADH	genetic	NULL	LPE517
52221	EDNRA	genetic	NULL	LPE517
52229	ESCO2	genetic	NULL	LPE517
52250	FANCG	genetic	NULL	LPE517
52289	G6PC	genetic	NULL	LPE517
52299	GDF3	genetic	NULL	LPE517
52328	HNF4A	genetic	NULL	LPE517
52335	HPRT1	genetic	NULL	LPE517
52364	ITGA8	genetic	NULL	LPE517
52387	KL	genetic	NULL	LPE517
52389	KRAS	genetic	NULL	LPE517
52397	LDHA	genetic	NULL	LPE517
52402	LIFR	genetic	NULL	LPE517
52406	LMX1B	genetic	NULL	LPE517
52411	LRP4	genetic	NULL	LPE517
52420	MAPRE2	genetic	NULL	LPE517
52427	MKS1	genetic	NULL	LPE517
52449	NARS2	genetic	NULL	LPE517
52487	PBX1	genetic	NULL	LPE517
52502	PEX12	genetic	NULL	LPE517
52527	PKHD1	genetic	NULL	LPE517
52534	POC1B	genetic	NULL	LPE517
52560	RAF1	genetic	NULL	LPE517
52584	RPS10	genetic	NULL	LPE517
52590	RPS26	genetic	NULL	LPE517
52598	SC5D	genetic	NULL	LPE517
52602	SCARF2	genetic	NULL	LPE517
52604	SCNN1B	genetic	NULL	LPE517
52611	SDHB	genetic	NULL	LPE517
52621	SF3B4	genetic	NULL	LPE517
52625	SIX5	genetic	NULL	LPE517
52647	SLC36A2	genetic	NULL	LPE517
52690	SUCLA2	genetic	NULL	LPE517
52701	TCTN2	genetic	NULL	LPE517
52727	TRPM6	genetic	NULL	LPE517
52735	TTC8	genetic	NULL	LPE517
52760	WDR35	genetic	NULL	LPE517
52784	ABHD5	genetic	NULL	LPE520
52788	ACTA1	genetic	NULL	LPE520
52796	ALDH18A1	genetic	NULL	LPE520
52802	AMPD2	genetic	NULL	LPE520
52806	ANXA11	genetic	NULL	LPE520
52811	ARL6IP1	genetic	NULL	LPE520
52822	ATP2A1	genetic	NULL	LPE520
52826	BAG3	genetic	NULL	LPE520
52847	CHD8	genetic	NULL	LPE520
52888	DNAJB2	genetic	NULL	LPE520
52894	DPM2	genetic	NULL	LPE520
52926	FGD4	genetic	NULL	LPE520
52935	GAN	genetic	NULL	LPE520
52960	HOXD10	genetic	NULL	LPE520
52983	KIF21A	genetic	NULL	LPE520
52987	L1CAM	genetic	NULL	LPE520
52995	LDB3	genetic	NULL	LPE520
53004	LRP4	genetic	NULL	LPE520
53007	MAG	genetic	NULL	LPE520
53009	MCM3AP	genetic	NULL	LPE520
53023	MTM1	genetic	NULL	LPE520
53025	MUSK	genetic	NULL	LPE520
53046	NGF	genetic	NULL	LPE520
53087	PSAT1	genetic	NULL	LPE520
53099	RETREG1	genetic	NULL	LPE520
53125	SLC52A2	genetic	NULL	LPE520
53137	SNAP25	genetic	NULL	LPE520
53161	TIA1	genetic	NULL	LPE520
53183	UBQLN2	genetic	NULL	LPE520
53186	VAPB	genetic	NULL	LPE520
53195	ZFYVE26	genetic	NULL	LPE520
51249	SLC9A3	genetic	NULL	LPE638
51265	STAT4	genetic	NULL	LPE638
51290	TFRC	genetic	NULL	LPE638
51299	TLR3	genetic	NULL	LPE638
51328	TYK2	genetic	NULL	LPE638
51362	FBLN1	genetic	NULL	LPE639
51368	FBXW4	genetic	NULL	LPE639
51400	FUCA1	genetic	NULL	LPE639
51403	FSHB	genetic	NULL	LPE639
51414	GDF1	genetic	NULL	LPE639
51420	GDF3	genetic	NULL	LPE639
51424	GLI1	genetic	NULL	LPE639
51434	GNPAT	genetic	NULL	LPE639
51445	GSC	genetic	NULL	LPE639
51462	HOXA4	genetic	NULL	LPE639
51489	IFT80	genetic	NULL	LPE639
51499	INVS	genetic	NULL	LPE639
51531	LEMD3	genetic	NULL	LPE639
